Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-CFR7","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Suppressed","The CloudFront distribution does not have an associated WAFWebACL","Error","The CloudFront distribution does not use an origin access control with an S3 origin."
"AwsSolutions-IAM4","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/Resource","Suppressed","Managed policies are acceptable for non-production code.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/Resource","Suppressed","Lambda functions have dependencies on Python 3.11","Error","The non-container Lambda function is not configured to use the latest runtime version."
