Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-COG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/start-claim-processing/GET/Resource","Compliant","N/A","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-IAM4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/ClaimReport/ServiceRole/Resource","Suppressed","Managed policies are acceptable for non-production code.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/ClaimReport/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/ClaimReport/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/ClaimReport/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/Claims/ServiceRole/Resource","Suppressed","Managed policies are acceptable for non-production code.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/Claims/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/Claims/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/Claims/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/PresignedPostUrl/ServiceRole/Resource","Suppressed","Managed policies are acceptable for non-production code.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/PresignedPostUrl/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/PresignedPostUrl/ServiceRole/DefaultPolicy/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/PresignedPostUrl/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/StartClaimProcessing/ServiceRole/Resource","Suppressed","Managed policies are acceptable for non-production code.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/StartClaimProcessing/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/StartClaimProcessing/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/StartClaimProcessing/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
